sim	fam id	dlcpar and k = .001 cost	dlcpar and k = .001 runtime	dlcpar and k = 10 cost	dlcpar and k = 10 runtime	dlclp cost	dlclp runtime
10e6-1x	254	1.000000	0.046466	1.000000	0.046800	1.000000	0.253747
10e6-1x	256	1.500000	0.053036	1.500000	0.054068	1.500000	0.606288
10e6-1x	257	1.500000	0.049876	1.500000	0.051819	1.500000	0.342208
10e6-1x	258	0.000000	0.047579	0.000000	0.044338	0.000000	0.265218
10e6-1x	259	1.500000	0.032498	1.500000	0.036381	1.500000	0.153685
10e6-1x	260	1.000000	0.057799	1.000000	0.057562	1.000000	0.511097
10e6-1x	261	1.000000	0.050012	1.000000	0.046471	1.000000	0.243627
10e6-1x	262	0.000000	0.052165	0.000000	0.048482	0.000000	0.276281
10e6-1x	265	1.000000	0.058536	1.000000	0.056664	1.000000	0.454500
10e6-1x	266	2.000000	0.035468	2.000000	0.038822	2.000000	0.166892
10e6-1x	267	3.500000	0.063156	3.500000	0.061725	3.500000	1.136609
10e6-1x	268	2.000000	0.064466	2.000000	0.061927	2.000000	0.654225
10e6-1x	269	1.000000	0.047701	1.000000	0.048107	1.000000	0.248832
10e6-1x	270	2.500000	0.053046	2.500000	0.051306	2.500000	0.471130
10e6-1x	271	1.000000	0.062396	1.000000	0.060203	1.000000	0.508642
10e6-1x	272	2.500000	0.065072	2.500000	0.075763	2.500000	1.060214
10e6-1x	273	1.500000	0.052281	1.500000	0.060771	1.500000	0.555706
10e6-1x	274	2.000000	0.045735	2.000000	0.042038	2.000000	0.229133
10e6-1x	275	0.500000	0.054489	0.500000	0.053853	0.500000	0.382050
10e6-1x	276	1.500000	0.044014	1.500000	0.040345	1.500000	0.154455
10e6-1x	277	0.000000	0.046209	0.000000	0.044906	0.000000	0.265149
10e6-1x	278	1.500000	0.050411	1.500000	0.052689	1.500000	0.332365
10e6-1x	279	1.500000	0.036470	1.500000	0.031242	1.500000	0.140537
10e6-1x	280	2.000000	0.032830	2.000000	0.039320	2.000000	0.127452
10e6-1x	281	3.000000	0.068197	3.000000	0.068169	3.000000	0.763324
10e6-1x	282	1.500000	0.063519	1.500000	0.069567	1.500000	0.753488
10e6-1x	283	0.500000	0.056938	0.500000	0.050820	0.500000	0.393888
10e6-1x	284	0.500000	0.058585	0.500000	0.055421	0.500000	0.357659
10e6-1x	285	1.000000	0.026331	1.000000	0.019632	1.000000	0.057077
10e6-1x	286	1.000000	0.069714	1.000000	0.058860	1.000000	0.504729
10e6-1x	287	4.000000	0.083380	4.000000	0.077608	4.000000	0.990741
10e6-1x	288	1.500000	0.090583	1.500000	0.089183	1.500000	1.151030
10e6-1x	289	0.500000	0.053331	0.500000	0.054965	0.500000	0.362087
10e6-1x	291	1.500000	0.057356	1.500000	0.054972	1.500000	0.552708
10e6-1x	292	2.000000	0.070057	2.000000	0.061969	2.000000	0.584551
10e6-1x	293	4.500000	0.077587	4.500000	0.072618	4.500000	1.274026
10e6-1x	294	2.500000	0.061459	2.500000	0.061427	2.500000	0.842577
10e6-1x	295	0.500000	0.060968	0.500000	0.063065	0.500000	0.394822
10e6-1x	296	1.500000	0.056118	1.500000	0.058266	1.500000	0.570189
10e6-1x	298	2.500000	0.081452	2.500000	0.083634	2.500000	1.379145
10e6-1x	300	1.000000	0.058625	1.000000	0.055964	1.000000	0.481805
10e6-1x	301	3.000000	0.064717	3.000000	0.066106	3.000000	1.267208
10e6-1x	302	2.500000	0.116971	2.500000	0.117453	2.500000	2.848287
10e6-1x	303	0.500000	0.054850	0.500000	0.057577	0.500000	0.398319
10e6-1x	304	1.500000	0.053877	1.500000	0.052438	1.500000	0.339519
10e6-1x	305	3.500000	0.134564	3.500000	0.147335	3.500000	2.108367
10e6-1x	306	2.000000	0.063686	2.000000	0.064766	2.000000	0.867045
10e6-1x	307	4.500000	0.086659	4.500000	0.082170	4.500000	1.459582
10e6-1x	308	0.000000	0.050079	0.000000	0.049553	0.000000	0.269272
10e6-1x	309	0.500000	0.055550	0.500000	0.058469	0.500000	0.392299
10e6-1x	312	0.500000	0.058723	0.500000	0.049757	0.500000	0.418242
10e6-1x	313	2.000000	0.044229	2.000000	0.037263	2.000000	0.213116
10e6-1x	314	2.000000	0.058068	2.000000	0.058388	2.000000	0.670573
10e6-1x	315	1.000000	0.051321	1.000000	0.049395	1.000000	0.454668
10e6-1x	322	3.000000	0.066201	3.000000	0.057363	3.000000	0.772407
10e6-1x	323	0.500000	0.062762	0.500000	0.061659	0.500000	0.401279
10e6-1x	324	2.000000	0.108261	2.000000	0.099827	2.000000	1.768175
10e6-1x	325	0.500000	0.062907	0.500000	0.062312	0.500000	0.360380
10e6-1x	330	1.000000	0.058304	1.000000	0.048548	1.000000	0.408128
10e6-1x	331	0.500000	0.063363	0.500000	0.061427	0.500000	0.434533
10e6-1x	332	0.000000	0.048309	0.000000	0.050254	0.000000	0.272482
10e6-1x	333	1.500000	0.055204	1.500000	0.057880	1.500000	0.330452
10e6-1x	334	0.000000	0.049701	0.000000	0.047199	0.000000	0.271183
10e6-1x	335	1.000000	0.057900	1.000000	0.063696	1.000000	0.516190
10e6-1x	336	1.500000	0.058858	1.500000	0.059000	1.500000	0.561516
10e6-1x	337	0.000000	0.047928	0.000000	0.046661	0.000000	0.265320
10e6-1x	338	1.500000	0.048942	1.500000	0.048247	1.500000	0.347251
10e6-1x	339	1.000000	0.057067	1.000000	0.055802	1.000000	0.490062
10e6-1x	340	0.500000	0.041368	0.500000	0.043156	0.500000	0.224163
10e6-1x	341	0.500000	0.053026	0.500000	0.055533	0.500000	0.368731
10e6-1x	346	1.000000	0.049283	1.000000	0.045249	1.000000	0.246267
10e6-1x	347	0.000000	0.050085	0.000000	0.047860	0.000000	0.260218
10e6-1x	348	0.500000	0.057081	0.500000	0.059878	0.500000	0.390438
10e6-1x	349	0.000000	0.037386	0.000000	0.035306	0.000000	0.150569
10e6-1x	350	0.500000	0.056745	0.500000	0.052743	0.500000	0.400775
10e6-1x	351	2.000000	0.054132	2.000000	0.055342	2.000000	0.718499
10e6-1x	352	0.000000	0.047457	0.000000	0.051782	0.000000	0.271826
10e6-1x	353	1.000000	0.043476	1.000000	0.037145	1.000000	0.224574
10e6-1x	354	1.500000	0.053331	1.500000	0.053605	1.500000	0.318579
10e6-1x	355	2.500000	0.065339	2.500000	0.063250	2.500000	0.619721
10e6-1x	356	1.500000	0.050845	1.500000	0.051092	1.500000	0.322798
10e6-1x	357	2.000000	0.067449	2.000000	0.067533	2.000000	1.057886
10e6-1x	358	2.000000	0.057510	2.000000	0.054942	2.000000	0.477500
10e6-1x	359	2.000000	0.077189	2.000000	0.073955	2.000000	0.803547
10e6-1x	360	0.000000	0.049665	0.000000	0.052331	0.000000	0.264482
10e6-1x	361	1.000000	0.049469	1.000000	0.048084	1.000000	0.249431
10e6-1x	362	1.500000	0.051159	1.500000	0.050672	1.500000	0.345750
10e6-1x	363	2.000000	0.042161	2.000000	0.046515	2.000000	0.228328
10e6-1x	364	0.000000	0.045223	0.000000	0.044495	0.000000	0.262737
10e6-1x	365	1.000000	0.061009	1.000000	0.066577	1.000000	0.501526
10e6-1x	366	2.000000	0.070048	2.000000	0.066935	2.000000	0.835928
10e6-1x	367	1.000000	0.031483	1.000000	0.037777	1.000000	0.121997
10e6-1x	368	3.000000	0.063491	3.000000	0.060968	3.000000	1.191466
10e6-1x	369	1.500000	0.035622	1.500000	0.039759	1.500000	0.173861
10e6-1x	370	1.001000	0.060759	3.000000	0.062665	1.000000	0.640845
10e6-1x	371	2.000000	0.037612	2.000000	0.037595	2.000000	0.191233
10e6-1x	376	1.500000	0.049657	1.500000	0.053977	1.500000	0.341327
10e6-1x	377	1.000000	0.044067	1.000000	0.046633	1.000000	0.243719
10e6-1x	378	0.000000	0.050019	0.000000	0.053490	0.000000	0.273692
10e6-1x	379	0.000000	0.047619	0.000000	0.045525	0.000000	0.252444
10e6-1x	382	0.500000	0.050361	0.500000	0.057829	0.500000	0.371976
10e6-1x	383	2.000000	0.060022	2.000000	0.064234	2.000000	0.486332
10e6-1x	384	1.000000	0.064796	1.000000	0.056157	1.000000	0.503627
10e6-1x	385	1.000000	0.057505	1.000000	0.057083	1.000000	0.454530
10e6-1x	390	1.500000	0.056717	1.500000	0.057385	1.500000	0.341218
10e6-1x	391	0.500000	0.055250	0.500000	0.051355	0.500000	0.402472
10e6-1x	392	1.000000	0.019857	1.000000	0.026162	1.000000	0.055821
10e6-1x	393	1.500000	0.075593	1.500000	0.074590	1.500000	0.582602
10e6-1x	394	0.500000	0.051891	0.500000	0.049308	0.500000	0.378903
10e6-1x	395	1.000000	0.053946	1.000000	0.048947	1.000000	0.417652
10e6-1x	396	3.500000	0.075407	3.500000	0.068036	3.500000	0.969095
10e6-1x	397	2.000000	0.048100	2.000000	0.047581	2.000000	0.420973
10e6-1x	398	1.000000	0.035293	1.000000	0.035461	1.000000	0.127582
10e6-1x	399	2.000000	0.054731	2.000000	0.060155	2.000000	0.394950
10e6-1x	400	1.000000	0.052997	1.000000	0.058215	1.000000	0.511249
10e6-1x	401	1.000000	0.047998	1.000000	0.050299	1.000000	0.421807
10e6-1x	402	0.000000	0.049122	0.000000	0.048006	0.000000	0.266975
10e6-1x	405	1.000000	0.060823	1.000000	0.055839	1.000000	0.486810
10e6-1x	406	3.000000	0.053083	3.000000	0.053182	3.000000	0.610473
10e6-1x	407	3.000000	0.059569	3.000000	0.064305	3.000000	0.713552
10e6-1x	408	2.000000	0.062729	2.000000	0.056326	2.000000	0.439680
10e6-1x	409	2.000000	0.063976	2.000000	0.057029	2.000000	0.466528
10e6-1x	410	0.500000	0.053902	0.500000	0.050245	0.500000	0.375404
10e6-1x	411	2.000000	0.111739	2.000000	0.111927	2.000000	4.013252
10e6-1x	412	1.500000	0.064704	1.500000	0.067796	1.500000	0.564366
10e6-1x	413	0.000000	0.049077	0.000000	0.052225	0.000000	0.260527
10e6-1x	414	1.000000	0.053134	1.000000	0.055467	1.000000	0.448910
10e6-1x	415	2.000000	0.058581	2.000000	0.059839	2.000000	0.544368
10e6-1x	416	3.500000	0.060654	3.500000	0.061098	3.500000	0.654797
10e6-1x	417	0.500000	0.057503	0.500000	0.059351	0.500000	0.371730
10e6-1x	418	0.500000	0.051282	0.500000	0.050390	0.500000	0.394010
10e6-1x	419	1.500000	0.051126	1.500000	0.057013	1.500000	0.334088
10e6-1x	420	1.500000	0.050849	1.500000	0.055987	1.500000	0.330854
10e6-1x	421	1.000000	0.058999	1.000000	0.056557	1.000000	0.495097
10e6-1x	422	1.000000	0.062589	1.000000	0.064581	1.000000	0.454663
10e6-1x	423	0.500000	0.054073	0.500000	0.055416	0.500000	0.359681
10e6-1x	424	1.000000	0.049331	1.000000	0.042682	1.000000	0.242268
10e6-1x	425	2.000000	0.056218	2.000000	0.056098	2.000000	0.385273
10e6-1x	426	2.500000	0.038427	2.500000	0.040234	2.500000	0.153740
10e6-1x	427	0.500000	0.052124	0.500000	0.057310	0.500000	0.400051
10e6-1x	428	3.000000	0.045313	3.000000	0.050684	3.000000	0.397983
10e6-1x	429	2.000000	0.072114	2.000000	0.071753	2.000000	1.272732
10e6-1x	430	0.500000	0.055879	0.500000	0.055079	0.500000	0.376792
10e6-1x	431	1.500000	0.064179	1.500000	0.066964	1.500000	0.587356
10e6-1x	433	0.500000	0.056941	0.500000	0.054182	0.500000	0.396950
10e6-1x	434	1.000000	0.053634	1.000000	0.052210	1.000000	0.455901
10e6-1x	436	1.000000	0.044296	1.000000	0.042912	1.000000	0.250915
10e6-1x	437	2.000000	0.057934	2.000000	0.068205	2.000000	0.831469
10e6-1x	438	1.000000	0.058155	1.000000	0.056529	1.000000	0.487575
10e6-1x	439	1.500000	0.054970	1.500000	0.053848	1.500000	0.668559
10e6-1x	440	1.000000	0.048777	1.000000	0.042994	1.000000	0.236400
10e6-1x	441	0.500000	0.050988	0.500000	0.052640	0.500000	0.389142
10e6-1x	442	1.000000	0.061963	1.000000	0.072215	1.000000	0.461837
10e6-1x	443	1.500000	0.049149	1.500000	0.049149	1.500000	0.358554
10e6-1x	444	2.000000	0.052182	2.000000	0.051484	2.000000	0.387915
10e6-1x	445	4.000000	0.069234	4.000000	0.068095	4.000000	1.506874
10e6-1x	446	2.000000	0.050169	2.000000	0.053686	2.000000	0.411326
10e6-1x	447	2.500000	0.054385	2.500000	0.048806	2.500000	0.377900
10e6-1x	448	0.500000	0.054153	0.500000	0.054705	0.500000	0.359329
10e6-1x	449	0.500000	0.061244	0.500000	0.058773	0.500000	0.372599
10e6-1x	450	1.500000	0.053389	1.500000	0.047494	1.500000	0.287554
10e6-1x	451	1.000000	0.056309	1.000000	0.056210	1.000000	0.497150
10e6-1x	452	1.500000	0.066699	1.500000	0.072962	1.500000	0.647905
10e6-1x	453	0.000000	0.045875	0.000000	0.048457	0.000000	0.263897
10e6-1x	454	0.000000	0.048623	0.000000	0.044393	0.000000	0.255526
10e6-1x	455	0.500000	0.060051	0.500000	0.055244	0.500000	0.407533
10e6-1x	456	1.000000	0.049624	1.000000	0.049595	1.000000	0.250426
10e6-1x	457	2.000000	0.048899	2.000000	0.042345	2.000000	0.321907
10e6-1x	458	0.000000	0.047539	0.000000	0.049009	0.000000	0.262324
10e6-1x	460	0.500000	0.055785	0.500000	0.051022	0.500000	0.398927
10e6-1x	462	4.500000	0.059499	4.500000	0.056596	4.500000	0.891526
10e6-1x	463	2.000000	0.086843	2.000000	0.079400	2.000000	0.927063
10e6-1x	464	1.000000	0.056440	1.000000	0.055376	1.000000	0.412243
10e6-1x	465	1.000000	0.040738	1.000000	0.040813	1.000000	0.208532
10e6-1x	467	1.500000	0.049997	1.500000	0.051540	1.500000	0.332059
10e6-1x	468	0.500000	0.052091	0.500000	0.050523	0.500000	0.394284
10e6-1x	469	0.000000	0.039285	0.000000	0.044124	0.000000	0.166134
10e6-1x	470	2.500000	0.062492	2.500000	0.061384	2.500000	0.994793
10e6-1x	471	2.500000	0.063071	2.500000	0.067525	2.500000	1.000318
10e6-1x	472	1.500000	0.050518	1.500000	0.057092	1.500000	0.366643
10e6-1x	473	0.000000	0.040765	0.000000	0.034703	0.000000	0.159549
10e6-1x	474	1.000000	0.060657	1.000000	0.055752	1.000000	0.480713
10e6-1x	475	2.500000	0.063434	2.500000	0.072306	2.500000	0.895673
10e6-1x	476	3.000000	0.060318	3.000000	0.067421	3.000000	0.758898
10e6-1x	477	1.500000	0.060036	1.500000	0.060806	1.500000	0.550594
10e6-1x	478	1.500000	0.069359	1.500000	0.077576	1.500000	0.610646
10e6-1x	479	2.000000	0.066940	2.000000	0.063348	2.000000	0.873879
10e6-1x	480	2.000000	0.057206	2.000000	0.056275	2.000000	0.439555
10e6-1x	481	1.000000	0.054369	1.000000	0.053497	1.000000	0.459141
10e6-1x	482	0.500000	0.057093	0.500000	0.060890	0.500000	0.362528
10e6-1x	483	1.000000	0.057242	1.000000	0.058282	1.000000	0.504200
10e6-1x	484	0.500000	0.053141	0.500000	0.057670	0.500000	0.356100
10e6-1x	485	0.500000	0.062271	0.500000	0.056816	0.500000	0.362958
10e6-1x	486	2.500000	0.075949	2.500000	0.069104	2.500000	1.329716
10e6-1x	487	0.000000	0.038794	0.000000	0.036065	0.000000	0.147523
10e6-1x	488	1.000000	0.057413	1.000000	0.059441	1.000000	0.519176
10e6-1x	489	3.000000	0.049148	3.000000	0.046729	3.000000	0.507501
10e6-1x	490	0.500000	0.051045	0.500000	0.054544	0.500000	0.391501
10e6-1x	491	1.500000	0.035648	1.500000	0.035473	1.500000	0.169235
10e6-1x	493	1.000000	0.053885	1.000000	0.047244	1.000000	0.469209
10e6-1x	494	1.500000	0.056532	1.500000	0.059972	1.500000	0.552106
